1950,29.4,75040
1951,28.5,75040
1952,30.4,106100
1953,32.2,65160
1954,30.5,53650
1955,32.2,97260
1956,33.0,145340
1957,29.8,75040
1958,30.8,117160
1959,32.8,65160
1960,29.4,173810
1961,31.0,76000
1962,27.4,86200
1962,27.4,76380
1963,31.0,62410
1964,31.2,76430
1965,28.5,116500
1966,33.5,151640
1967,29.5,75040
1968,33.7,137100
1969,32.0,97260
1969,32.0,71470
1970,33.2,103080
1971,31.2,65130
1972,31.2,97260
1972,31.2,137100
1972,31.2,98200
1973,32.2,71470
1974,30.6,183980
1974,30.6,167710
1975,36.1,86200
1976,31.1,75040
1977,31.8,94180
1978,30.8,71470
1979,32.0,63600
1980,30.4,92400
1980,30.4,161790
1981,29.7,65160
1982,33.8,94050
1983,33.3,98210
1984,29.5,105370
1985,29.8,85450
1986,33.2,76470
1987,29.6,105410
1987,29.6,96310
1987,29.6,98210
1988,32.6,102540
1989,33.9,63050
1990,30.2,54330
1990,30.2,63340
1990,30.2,76000
1991,32.7,137040
1992,35.4,63600
1993,29.7,132030
1994,34.7,117160
1995,30.8,76420
1996,30.8,98210
1996,30.8,96140
1997,31.8,76420
1997,31.8,74180
1998,29.2,63600
1999,32.4,98210
2000,33.0,62400
2001,31.9,62400
2002,33.3,78290
2002,33.3,78290
2003,32.2,136420
2004,30.2,117160
2004,30.2,117160
2005,32.1,107140
2006,32.7,75240
2007,32.2,86420
2008,32.2,102390
2008,32.2,82090
2008,32.2,82090
2008,32.2,95130
2009,31.5,81370
2010,34.4,75250
2011,32.5,172770
2012,31.3,54990
2013,31.6,98210
2014,34.4,96560
